label,message
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
ham,"Ok lar... Joking wif u oni..."
spam,"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's"
ham,"U dun say so early hor... U c already then say..."
ham,"Nah I don't think he goes to usf, he lives around here though"
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv"
ham,"Even my brother is not like to speak with me. They treat me like aids patent."
ham,"As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune"
spam,"WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only."
spam,"Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030"
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today."
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
ham,"I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times."
ham,"I HAVE A DATE ON SUNDAY WITH WILL!!"
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
ham,"Oh k...i'm watching here:)"
ham,"Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet."
ham,"Fine if that's the way u feel. That's the way its got to b"
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+"
ham,"Is that seriously how you spell his name?"
spam,"Urgent! call 09066612661 from landline. Your complimentary 4* Tenerife Holiday or £10,000 cash await collection. 150ppm. Apply now, T&Cs www.rtl-inv.com"
ham,"I'm going to try for 2 months ha ha only joking"
spam,"You have been contacted by our dating service and have WON our £1500 prize! To claim, call 09066612661. Valid 12hrs only. 150ppm. CC: 08718720201 PO BOX 1146 MK3 7WT"
ham,"Did u get that story on wat happened to me? O tell u n u repeat story to me already."
ham,"I'm leaving my house now..."
spam,"Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged"
ham,"Yup... Ok i go home look at the timings then msg u again... Xuhui going to learn on 2nd may too but her lesson is at 8am"
spam,"This is the 2nd time we have tried to contact u. U have won the £750 Pound prize. 2 claim is easy, call 09066364311 NOW! Only 10p per min. BT-national-rate"
ham,"Will ü b going to esplanade fr home?"
ham,"Pity, * was in mood for that. So...any other suggestions I'm feeling guilty about this but hey, i'm not gonna lose sleep over it."
spam,"U have a secret admirer who is looking at you right now. Wanna find out who it is? Dial 09065394514 from your handset. 150p/min. 18+ only. T&C apply"
ham,"Rofl. Its true to its name"
spam,"Want explicit SEX in 30 secs? Ring 02073162414 now! Costs only 20p/min. To stop texts call 08712460324 (nationwide rate)"
ham,"Haf u found him? I feel so stupid v v v. I should have known this is coming."
ham,"I'm back & we're packing the car now, I'll let you know when there's an update"
spam,"Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is, call from your mobile 09058094597"
ham,"I'm done. I want to go home now."
spam,"You have 1 new message. Call 0207-083-6089"
ham,"Am I doing something wrong? Cuz when I work really hard I get quite emotional and teary"
spam,"You are a winner you have been specially selected to receive £1000 cash or a £2000 award. Speak to a live operator to claim call 087123002209am-7pm. Cost 10p"
ham,"I'm on the bus, I'll be there soon"
spam,"You have won a guaranteed £2000 cash or a £2000 prize. To claim, call 09050000327 quoting claim code KL341 standard rates apply"
ham,"I'm going to sleep. Good night"
spam,"You have been selected to stay in one of our top hotels for 2 weeks. Text IN to 82277. 18+ T&C www.text-in.co.uk"
ham,"I'm going to be late, sorry"
spam,"URGENT! Your mobile number has been awarded with a £2000 prize GUARANTEED. Call 09058094454 from land line. Claim code M39. Valid 12hrs only"
ham,"I'm going to the store, need anything?"
ham,"See you tomorrow at the meeting"
ham,"Thanks for your help today"
ham,"Can you pick up some groceries on your way home?"
ham,"What time are you free to chat?"
ham,"Let me know when you arrive"
ham,"I'll be there in about 30 minutes"
ham,"Did you finish the report?"
ham,"Call me when you get a chance"
ham,"Are we still meeting for lunch?"
ham,"I'll send you the details later"
ham,"Thanks for the update"
ham,"See you at the party tonight"
ham,"Can we reschedule for next week?"
ham,"I'll call you back in a few minutes"
ham,"What's your plan for the weekend?"
ham,"Let's meet at the coffee shop"
ham,"I'll be running a bit late"
ham,"Thanks for understanding"
spam,"Congratulations! You've won a $1000 gift card. Click here to claim your prize now!"
spam,"URGENT: Your account will be suspended. Verify now at www.secure-bank.com or lose access"
spam,"Limited time offer! Get 50% off all products. Use code SAVE50 at checkout. Shop now!"
spam,"You have been selected for a free iPhone! Reply YES to claim your prize today!"
spam,"Your package delivery failed. Reschedule at www.delivery-service.com/verify"
spam,"Bank Alert: Unusual activity detected. Click here to verify: www.bank-security.com"
spam,"You've won $5000! Claim your prize now by clicking this link: www.prize-winner.com"
spam,"Your subscription expires today. Renew now to avoid service interruption. Click here!"
spam,"Act now! Last chance to get your free trial. Sign up today and save 90%!"
spam,"Your payment failed. Update your card information immediately at www.payment-update.com"
